committee_id,committee_name,report_year,report_type,image_number,line_number,file_number,payee_name,payee_first_name,payee_middle_name,payee_last_name,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip,previous_file_number,amendment_indicator,amendment_number,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,office_total_ytd,category_code,category_code_full,support_oppose_indicator,memo_code,memo_code_full,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_state,candidate_office_district,candidate_party,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,independent_sign_name,independent_sign_date,notary_sign_name,notary_sign_date,notary_commission_expiration_date,election_type,election_type_full,back_reference_transaction_id,back_reference_schedule_name,filer_first_name,filer_middle_name,filer_last_name,transaction_id,original_sub_id,action_code,action_code_full,schedule_type_full,filing_form,link_id,sub_id,payee_prefix,payee_suffix,is_notice,most_recent,filing_date,memo_text,filer_prefix,filer_suffix,schedule_type,pdf_url
C00523621,UNITED WE CAN,2022,24,202210229541497315,24,1647219,MEDIAVISION2020 LLC,,,,PO BOX 519,,ROGERS,AR,727570519,1646754,A,1,ESTIMATED COST - DIGITAL ADVERTISING,2022-10-21 00:00:00,2022-10-21 00:00:00,4000.00,7700.00,004,Advertising Expenses ,S,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,,,,,,,,"VERRETT, APRIL",2022-10-22 00:00:00,,,,G2022,,,,APRIL,,VERRETT,500017843,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102320221590216004,4102320221590555028,,,t,t,2022-10-22 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210229541497315
C00756940,TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,24,202210209541408346,24,1645998,THE UNITED FARM WORKERS,,,,PO BOX 62,,KEENE,CA,935310062,1645998,N,0,CANVASSING,2022-10-20 00:00:00,2022-10-20 00:00:00,50000.00,50000.00,001,Administrative/Salary/Overhead Expenses ,S,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,,,,,,,,"HALVORSON, STEVEN",2022-10-20 00:00:00,,,,G2022,,,,STEVEN,,HALVORSON,500000906,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108003,4102120221590171005,,,t,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541408346
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,48,202210209541444539,24,1646068,PEOPLE WHO THINK,,,,4522 LA-22,STE. 7,MANDEVILLE,LA,22201,1646068,N,0,MAILER PRODUCTION LIBRE ACTION,2022-10-18 00:00:00,2022-10-19 00:00:00,6658.45,398294.17,004,Advertising Expenses ,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-20 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.16521,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108009,4102120221590171214,,,t,t,2022-10-20 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541444539
C00075820,NRCC,2022,48,202210129532142896,24,1636694,NEBO MEDIA,,,,PO BOX 9825,,ARLINGTON,VA,22219,1636694,N,0,MEDIA,2022-10-07 00:00:00,2022-10-11 00:00:00,143064.08,1380692.96,,,O,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,C00797217,,,,,,,"DAVIS, KEITH A",2022-10-11 00:00:00,,,,G2022,,,,KEITH,A,DAVIS,SE24-0.136838,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101220221587941030,4101220221588006616,,,t,t,2022-10-12 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210129532142896
C00693531,FUTURE LEADERS FUND,2022,24,202210269541679599,24,1650326,THE HEREFORD AGENCY,,,,5301 BURKE DR,,ALEXANDRIA,VA,22309,1650326,N,0,PRODUCTION COST: DIGITAL AD,2022-10-25 00:00:00,2022-10-25 00:00:00,3750.00,33750.00,,,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,C00693531,,,,,,,"GANTT, CHARLES",2022-10-26 00:00:00,,,,G2022,,,,CHARLES,,GANTT,SE.5243,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102620221591745123,4102620221592298893,,,t,t,2022-10-26 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541679599
C00811166,THE SENTINEL ACTION FUND,2022,48,202210089532101143,24,1635101,CANVASS AMERICA LLC,,,,520 9TH ST SE,,WASHINGTON,DC,200032838,1635101,N,0,PHONE CALLS,2022-10-07 00:00:00,2022-10-06 00:00:00,100000.00,100000.00,,,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"BACKIEL, JOHN",2022-10-08 00:00:00,,,,G2022,,,,JOHN,,BACKIEL,E3DDFEA5FDC324662BE0,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100820221587792012,4100820221587805160,,,t,t,2022-10-08 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210089532101143
C00214981,TEXAS FARM BUREAU AGFUND,2022,24,202210209541203786,24,1645803,THE EPPSTEIN GROUP,,,,2830 SOUTH HULEN ST. #361,,FORT WORTH,TX,76109,1645803,N,0,DIRECT MAIL ADVERTISEMENT,2022-10-20 00:00:00,2022-10-20 00:00:00,50357.00,50357.00,004,Advertising Expenses ,S,,,,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,,,,,,,,,"COOK, SI E.",2022-10-20 00:00:00,,,,G2022,,,,SI E.,,COOK,11429218,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102020221589931117,4102020221590088916,,,t,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541203786
C00606962,WFP NATIONAL PAC,2022,24,202210209537739464,24,1645567,UNITED FARM WORKERS OF AMERICA,,,,PO BOX 62,,KEENE,CA,93531,1645567,N,0,ESTIMATE FOR IN PERSON CANVASSING,2022-10-19 00:00:00,2022-10-19 00:00:00,60000.00,73888.00,006,Campaign Materials,S,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,C00606962,,,,,,,"BOLAND, MICHAEL",2022-10-20 00:00:00,,,,G2022,,,,MICHAEL,,BOLAND,SE.154808,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102020221589931090,4102020221590088715,,,t,t,2022-10-20 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537739464
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,48,202210189537564468,24,1644138,AMERICANS FOR PROSPERITY,,,,1310 N. COURTHOUSE RD.,STE. 700,ARLINGTON,VA,22201,1644138,N,0,CANVASSING,2022-10-16 00:00:00,2022-10-16 00:00:00,2754.69,375239.16,004,Advertising Expenses ,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-18 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.16406,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101920221589124015,4101920221589893316,,,t,t,2022-10-18 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210189537564468
C00606962,WFP NATIONAL PAC,2022,24,202210279541880304,24,1652810,ANGLE MASTAGNI,,,,507 N SYLVANIA AVE,,FORT WORTH,TX,76111,1652810,N,0,ESTIMATE FOR PHONE CALLS,2022-10-26 00:00:00,2022-10-26 00:00:00,30000.00,173879.60,006,Campaign Materials,S,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,C00606962,,,,,,,"BOLAND, MICHAEL",2022-10-27 00:00:00,,,,G2022,,,,MICHAEL,,BOLAND,SE.155014,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720221592345098,4102720221592616704,,,t,t,2022-10-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541880304
C90018045,UNITED WE DREAM ACTION,2022,24,202210219541487689,,1646364,BERLIN ROSEN,,,,15 MAIDEN LN,STE 1600,NEW YORK,NY,100385111,1646364,N,0,,2022-10-20 00:00:00,,4146.81,5358.90,004,Advertising Expenses ,S,,,H2TX15203,"VALLEJO, MICHELLE",,MICHELLE,,VALLEJO,,H,TX,15,DEM,,,,,,,,,,,,,G2022,GENERAL,,,,,,VVB0QARNE01,,A,ADD,FOR EACH INDEPENDENT EXPENDITURE MADE,F5,4102120221590111010,4102120221590114343,,,t,t,2022-10-21 00:00:00,,,,SE-F57,https://docquery.fec.gov/cgi-bin/fecimg/?202210219541487689
C00722371,ENERGY SECURITY PAC,2022,24,202210219541455121,24,1646117,IMPACT ADVERTISING LLC,,,,3685 S 500 W,,SOUTH SALT LAKE CITY,UT,84115,1646117,N,0,DEVELOPMENT AND PRODUCTION OF WEBSITE,2022-10-20 00:00:00,2022-10-22 00:00:00,725.00,725.00,,,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,C00722371,,,,,,,"OLEARY, SHANNON",2022-10-21 00:00:00,,,,G2022,,,,SHANNON,,OLEARY,SE.4330,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102120221590108015,4102120221590171276,,,t,t,2022-10-21 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210219541455121
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,48,202210059532074750,24,1634284,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW,STE 604,WASHINGTON,DC,20024,1634284,N,0,MAILER POSTAGE LIBRE ACTION,2022-10-05 00:00:00,2022-10-05 00:00:00,5726.55,281776.48,004,Advertising Expenses ,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-05 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.13997,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4100620221587693007,4100620221587730093,,,t,t,2022-10-05 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210059532074750
C00493221,THE GUARDIAN FUND,2022,24,202210279541748345,24,1651794,STRATEGIC PARTNERS & MEDIA,,,,PO BOX 480,,ARNOLD,MD,210120480,1651794,N,0,TELEVISION ADVERTISING,2022-10-27 00:00:00,2022-10-27 00:00:00,6323.62,12734.12,,,S,,,,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,,,,,,,,,"WILDER, GREGORY",2022-10-27 00:00:00,,,,G2022,,,,GREGORY,,WILDER,E7952D61C3DCC43E7AB5,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720221592345061,4102720221592616552,,,t,t,2022-10-27 00:00:00,,,,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541748345
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,48,202210149532552419,24,1640503,PEOPLE WHO THINK,,,,4522 LA-22,STE. 7,MANDEVILLE,LA,22201,1640503,N,0,MAILER PRODUCTION LIBRE ACTION,2022-10-07 00:00:00,2022-10-12 00:00:00,6658.45,337608.22,004,Advertising Expenses ,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-14 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.15136,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4101520221588293038,4101520221588307132,,,t,t,2022-10-14 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210149532552419
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,24,202210269541704454,24,1651085,TARGETED VICTORY LLC,,,,2311 WILSON BOULEVARD,SUITE 200,ARLINGTON,VA,22201,1651085,N,0,MEDIA PRODUCTION LIBRE ACTION,2022-10-25 00:00:00,2022-10-25 00:00:00,2400.00,454368.92,004,Advertising Expenses ,S,,,H0TX15124,"DE LA CRUZ, MONICA",,MONICA,,DE LA CRUZ,,H,TX,15,REP,,,,,,,,"JENTGENS, ROBERT TREASURER",2022-10-26 00:00:00,,,,G2022,,,,ROBERT,,JENTGENS,SE24.16896,,A,ADD,ITEMIZED INDEPENDENT EXPENDITURES,F24,4102720221592345042,4102720221592616107,,,t,t,2022-10-26 00:00:00,,,TREASURER,SE,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541704454
